id	page	violation
G429	115	MAJOR FOUL. YELLOW CARD if greater-than-MOMENTARY.
G430	115	MINOR FOUL.
G431	115	MAJOR FOUL plus YELLOW CARD if G431.A. RED CARD and the opposing ALLIANCE is  awarded the PATTERN RP if G431.C.
G432	116	MINOR FOUL per ARTIFACT. MAJOR FOUL per ARTIFACT that enters the open top of the GOAL.
G433	116	MINOR FOUL per non-ARTIFACT item entered onto the FIELD.
G434	116	MINOR FOUL per ARTIFACT over the limit and an additional MINOR FOUL per ARTIFACT over  the limit for every 3 seconds in which the situation is not corrected.
T205	154	VERBAL WARNING. YELLOW CARD if subsequent violations during the event.
T401	159	The Head REFEREE will not address additional, non-compliant team members or peripheral  conversations.
T701	163	Teams who do not send a representative are ineligible for the playoff tournament
T702	163	The ALLIANCE CAPTAIN must make another selection
