id	page	violation
G429	88	MAJOR FOUL plus YELLOW CARD if greater-than-MOMENTARY.
G430	88	MAJOR FOUL per occurrence plus YELLOW CARD if the DRIVE TEAM member contacts the  ROBOT.
G431	88	MINOR FOUL per occurrence plus YELLOW CARD if the HUMAN PLAYER contacts the ROBOT.
G432	89	MINOR FOUL per occurrence plus YELLOW CARD if the HUMAN PLAYER contacts the ROBOT.
G433	89	MAJOR FOUL per SCORING ELEMENT.
G434	89	MINOR FOUL per occurrence.
G501	90	Verbal warning plus YELLOW CARD if subsequent violations occur at any point during the  event.
G502	90	Verbal warning plus YELLOW CARD if subsequent violations occur at any point during the  event.
T205	122	Verbal warning, plus YELLOW CARD if subsequent violations at any point during the event or  egregious.
T401	124	The Head REFEREE will not address additional, non-compliant team members or peripheral  conversations.
T601	127	Teams who do not send a representative are ineligible for the playoff tournament
T602	127	The ALLIANCE CAPTAIN must make another selection
